year,month,user_account_id,user_lifetime,user_intake,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
2013,6,2529,117,0,1,11.61,16.33,1,1,0,1,1,3,24.0,140,3.85,27.97,0.31,2.07,1,0,0.0,0.0,1,34,3.54,23.62,1,0,0.0,0.0,1,213,12.48,0.06,1,0,0.0,1,209,12.3,1,0,0.0,1,11,0.0,0,0.0,0,0.0,0.0,1276,6,57.0,70.32,0.0,64.18,0.0,661,0,655,1,0.0
2013,6,5409,1002,0,2,18.76,3.51,1,1,0,0,51,0,0.0,26,1.05,7.25,0.15,1.0,2,0,0.0,0.0,2,8,1.05,7.0,2,0,0.0,0.0,2,42,2.46,0.06,8,0,0.0,8,41,2.46,8,0,0.0,8,19,0.0,0,0.0,0,0.0,0.0,1276,1,24.0,11.97,0.0,9.0,0.0,113,0,106,2,0.0
2013,6,94988,1986,0,1,10.84,5.57,1,1,0,0,32,0,0.0,10,5.15,34.32,2.28,15.22,1,0,0.0,0.0,1,10,5.15,34.32,1,0,0.0,0.0,1,7,0.42,0.06,1,0,0.0,1,7,0.42,1,0,0.0,1,1,0.0,0,0.0,0,0.0,0.0,1276,1,12.0,69.47,0.0,63.73,0.0,19,0,18,0,0.0
2013,6,127422,1986,0,1,41.78,15.07,1,1,0,1,24,1,36.04,61,14.89,99.23,1.6,10.68,1,0,0.0,0.0,1,59,14.89,99.23,1,0,0.0,0.0,1,45,0.18,0.06,1,0,0.0,1,3,0.18,1,0,0.0,1,11,0.0,0,0.0,0,0.0,0.0,1276,9,81.04,354.97,0.0,354.97,0.0,136,0,44,0,0.0
2013,6,182644,1986,0,6,0.48,0.0,1,0,0,0,1276,0,0.0,2,0.0,0.0,0.0,0.0,6,0,0.0,0.0,6,0,0.0,0.0,6,0,0.0,0.0,6,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,276293,1516,0,1,0.0,21.93,1,1,0,1,2,3,14.01,78,21.39,148.97,6.43,42.87,1,0,0.0,0.0,1,56,17.3,115.35,1,0,0.0,0.0,1,35,0.54,0.06,1,0,0.0,1,17,0.54,1,0,0.0,1,14,0.0,0,0.0,0,0.0,0.0,1276,18,58.035,415.77,0.0,301.87,0.0,81,0,17,0,0.0
2013,6,350000,1283,0,1,7.9,11.46,1,1,0,1,26,1,5.0,145,10.21,67.92,1.49,8.07,1,8,1.01,2.87,1,45,5.87,39.15,1,32,2.55,18.92,1,21,1.25,0.11,1,4,0.24,1,15,0.9,1,1,0.11,1,16,0.0,5,0.0,0,0.0,0.0,1276,3,15.0,160.97,3.37,105.78,21.2,63,7,46,9,0.0
2013,6,390747,15885,0,1276,0.0,0.0,0,0,0,0,1276,0,0.0,0,0.0,0.0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,1276,0,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2013,6,419628,772,0,9,15.4,0.65,1,1,0,0,1276,0,0.0,9,0.65,3.47,0.18,1.0,9,3,0.18,0.5,9,2,0.3,2.0,9,5,0.35,1.0,9,1,0.0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,4,0.0,3,0.0,0,0.0,0.0,1276,0,0.0,5.33,0.5,3.0,1.0,1,0,0,0,0.0
2013,6,427898,613,0,1,2.81,3.25,1,1,0,0,1276,0,0.0,19,3.07,20.47,0.61,4.03,1,0,0.0,0.0,1,16,2.92,19.47,1,0,0.0,0.0,1,3,0.18,0.06,5,0,0.0,5,3,0.18,5,0,0.0,5,3,0.0,0,0.0,0,0.0,0.0,1276,0,0.0,40.88,0.0,38.6,0.0,3,0,3,0,0.0
