0,user_lifetime,user_no_outgoing_activity_in_days,user_account_balance_last,,reloads_inactive_days,reloads_count,,calls_outgoing_count,calls_outgoing_spendings,,,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,,,,,,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,,,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,,,,,sms_outgoing_to_abroad_spendings,,gprs_usage,,gprs_inactive_days,
user_lifetime,1,0.184020851,0.263157218,,0.001710943,0.012766587,,0.190911244,0.182185942,,,0.205674729,0.615768206,0.051907866,,,,,,0.059646421,0.049613405,,,0.172151203,0.104991201,0.523954704,0.073313268,,,,,0.076539278,,0.025770202,,0.092566051,0
user_no_outgoing_activity_in_days,0.184020851,1,0.072873101,,0.141335701,0.078579128,,0.07529434,0.070708123,,,0.07808127,0.318396371,0.019216682,,,,,,0.021158801,0.018133702,,,0.066928228,0.039038997,0.165113487,0.027413962,,,,,0.028554934,,0.011240379,,0.014746832,0
user_account_balance_last,0.263157218,0.072873101,1,,0.092658945,0.024921569,,0.014229749,0.056987493,,,0.123837281,0.205979216,0.066768516,,,,,,0.030668276,0.067982975,,,0.04455647,0.042985664,0.225142591,0.036530695,,,,,0.090185363,,0.012899421,,0.01918048,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reloads_inactive_days,0.001710943,0.141335701,0.092658945,,1,0.473569973,,0.288247937,0.324647646,,,0.284978645,0.084489255,0.079879885,,,,,,0.079884695,0.082117191,,,0.273951748,0.123830539,0.322481171,0.108273214,,,,,0.109820682,,0.040235188,,0.074526742,0
reloads_count,0.012766587,0.078579128,0.024921569,,0.473569973,1,,0.546206136,0.625546365,,,0.377829286,0.015957325,0.083698,,,,,,0.095318264,0.09084585,,,0.309576044,0.119464418,0.196329246,0.136885311,,,,,0.076759413,,0.046033848,,0.070541031,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calls_outgoing_count,0.190911244,0.07529434,0.014229749,,0.288247937,0.546206136,,1,0.659754449,,,0.365860009,0.164925134,0.149056047,,,,,,0.270248433,0.124109744,,,0.20931501,0.092454428,0.251770839,0.095753676,,,,,0.062369644,,0.057144747,,0.087182751,0
calls_outgoing_spendings,0.182185942,0.070708123,0.056987493,,0.324647646,0.625546365,,0.659754449,1,,,0.635567819,0.154543334,0.193578837,,,,,,0.176364338,0.270992164,,,0.178951175,0.095869933,0.248351609,0.068635225,,,,,0.083091023,,0.040407799,,0.070933612,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calls_outgoing_duration_max,0.205674729,0.07808127,0.123837281,,0.284978645,0.377829286,,0.365860009,0.635567819,,,1,0.176176488,0.09702826,,,,,,0.094109785,0.142272471,,,0.142312461,0.079357322,0.256769634,0.07542236,,,,,0.074098808,,0.031966642,,0.057355377,
calls_outgoing_inactive_days,0.615768206,0.318396371,0.205979216,,0.084489255,0.015957325,,0.164925134,0.154543334,,,0.176176488,1,0.042638988,,,,,,0.047191511,0.040763416,,,0.136523142,0.081279578,0.393814748,0.05477662,,,,,0.06051109,,0.024310569,,0.072410729,0
calls_outgoing_to_onnet_count,0.051907866,0.019216682,0.066768516,,0.079879885,0.083698,,0.149056047,0.193578837,,,0.09702826,0.042638988,1,,,,,,0.534078474,0.664065668,,,0.04050439,0.038607094,0.077424978,0.00277368,,,,,0.279728382,,0.001416467,,0.009399142,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
